1		Bayern Munich	34	29	3	2	94	23		15	1	1	48	15		14	2	1	46	8		71	90
2		Borussia Dortmund	34	22	5	7	80	38		11	2	4	41	19		11	3	3	39	19		42	71
3		Schalke_04	34	19	7	8	63	43		12	2	3	37	16		7	5	5	26	27		20	64
4		Bayer Leverkusen	34	19	4	11	60	41		10	3	4	35	22		9	1	7	25	19		19	61
5		VfL Wolfsburg	34	18	6	10	63	50		11	3	3	37	22		7	3	7	26	28		13	60
6		Borussia Monchengladbach	34	16	7	11	59	43		11	3	3	38	17		5	4	8	21	26		16	55
7		Mainz	34	16	5	13	52	54		10	3	4	28	17		6	2	9	24	37		-2	53
8		FC Augsburg	34	15	7	12	47	47		9	3	5	27	22		6	4	7	20	25		0	52
9		TSG Hoffenheim	34	11	11	12	72	70		7	6	4	43	31		4	5	8	29	39		2	44
10		Hannover_96	34	12	6	16	46	59		8	5	4	27	25		4	1	12	19	34		-13	42
11		Hertha Berlin	34	11	8	15	40	48		6	3	8	20	24		5	5	7	20	24		-8	41
12		Werder Bremen	34	10	9	15	42	66		6	6	5	21	30		4	3	10	21	36		-24	39
13		Eintracht Frankfurt	34	9	9	16	40	57		5	5	7	22	24		4	4	9	18	33		-17	36
14		SC Freiburg	34	9	9	16	43	61		6	4	7	25	30		3	5	9	18	31		-18	36
15		VfB Stuttgart	34	8	8	18	49	62		5	4	8	28	28		3	4	10	21	34		-13	32
16		Hamburg SV	34	7	6	21	51	75		5	3	9	24	34		2	3	12	27	41		-24	27
17		Nurnberg	34	5	11	18	37	70		3	5	9	16	32		2	6	9	21	38		-33	26
18		TSV Eintracht Braunschweig	34	6	7	21	29	60		5	3	9	18	24		1	4	12	11	36		-31	25

