1		Ajax Amsterdam	34	20	11	3	69	28		13	3	1	42	9		7	8	2	27	19		41	71
2		Feyenoord Rotterdam	34	20	7	7	76	40		12	2	3	44	17		8	5	4	32	23		36	67
3		Twente Enschede	34	17	12	5	72	37		9	8	0	43	17		8	4	5	29	20		35	63
4		PSV Eindhoven	34	18	5	11	60	45		11	3	3	34	18		7	2	8	26	27		15	59
5		Heerenveen	34	16	9	9	72	51		9	4	4	43	27		7	5	5	29	24		21	57
6		Vitesse Arnhem	34	15	10	9	65	49		8	6	3	32	19		7	4	6	33	30		16	55
7		FC Groningen	34	14	9	11	57	53		9	5	3	31	20		5	4	8	26	33		4	51
8		AZ Alkmaar	34	13	8	13	54	50		10	5	2	36	18		3	3	11	18	32		4	47
9		ADO Den Haag	34	12	7	15	45	64		8	4	5	29	30		4	3	10	16	34		-19	43
10		FC Utrecht	34	11	8	15	46	65		10	4	3	31	23		1	4	12	15	42		-19	41
11		PEC Zwolle	34	9	13	12	47	49		5	7	5	26	20		4	6	7	21	29		-2	40
12		Cambuur Leeuwarden	34	10	9	15	40	50		10	2	5	30	19		0	7	10	10	31		-10	39
13		Go Ahead Eagles	34	10	8	16	45	69		7	5	5	27	26		3	3	11	18	43		-24	38
14		SC Heracles Almelo	34	10	7	17	45	59		4	5	8	19	27		6	2	9	26	32		-14	37
15		NAC Breda	34	8	11	15	43	54		6	6	5	25	19		2	5	10	18	35		-11	35
16		RKC Waalwijk	34	7	11	16	44	64		5	5	7	26	30		2	6	9	18	34		-20	32
17		NEC Nijmegen	34	5	15	14	54	82		4	6	7	29	41		1	9	7	25	41		-28	30
18		Roda JC Kerkrade	34	7	8	19	44	69		4	4	9	21	30		3	4	10	23	39		-25	29

