1		Paris Saint-Germain	37	26	8	3	80	23		14	3	1	47	7		12	5	2	33	16		57	86
2		AS Monaco	37	23	10	4	62	30		12	5	1	31	13		11	5	3	31	17		32	79
3		Lille	37	19	11	7	42	25		13	3	3	25	10		6	8	4	17	15		17	68
4		St Etienne	37	19	9	9	53	33		11	5	2	33	14		8	4	7	20	19		20	66
5		Lyon	37	16	10	11	55	44		8	7	4	30	15		8	3	7	25	29		11	58
6		Marseille	37	15	12	10	52	40		9	3	6	29	20		6	9	4	23	20		12	57
7		Bordeaux	37	13	13	11	48	42		10	4	5	31	20		3	9	6	17	22		6	52
8		Lorient	37	13	10	14	47	49		8	7	3	28	21		5	3	11	19	28		-2	49
9		Stade de Reims	37	12	12	13	43	49		7	6	5	25	23		5	6	8	18	26		-6	48
10		Bastia	37	13	9	15	42	56		10	4	4	24	18		3	5	11	18	38		-14	48
11		Toulouse	37	11	13	13	43	52		4	9	5	20	25		7	4	8	23	27		-9	46
12		Nantes	37	12	9	16	38	43		7	4	8	19	19		5	5	8	19	24		-5	45
13		Stade Rennes	37	10	13	14	44	44		5	8	6	24	23		5	5	8	20	21		0	43
14		Montpellier	37	8	18	11	45	49		5	9	5	22	19		3	9	6	23	30		-4	42
15		Guingamp	37	11	9	17	34	41		8	4	7	21	16		3	5	10	13	25		-7	42
16		Nice	37	12	6	19	30	43		10	2	6	22	15		2	4	13	8	28		-13	42
17		Evian Thonon Gaillard	37	10	11	16	36	51		7	6	6	25	24		3	5	10	11	27		-15	41
18		Sochaux	37	10	10	17	37	58		8	6	4	20	15		2	4	13	17	43		-21	40
19		Valenciennes	37	7	8	22	36	62		4	5	10	23	31		3	3	12	13	31		-26	29
20		AC Ajaccio	37	4	11	22	36	69		3	6	10	23	33		1	5	12	13	36		-33	23

