1		Juventus	37	32	3	2	77	23		18	0	0	44	9		14	3	2	33	14		54	99
2		AS Roma	37	26	7	4	72	24		15	3	1	44	9		11	4	3	28	15		48	85
3		Napoli	37	22	9	6	72	38		12	4	2	38	14		10	5	4	34	24		34	75
4		Fiorentina	37	19	7	11	63	42		9	3	6	34	27		10	4	5	29	15		21	64
5		Internazionale	37	15	15	7	61	37		8	9	2	27	18		7	6	5	34	19		24	60
6		Torino	37	15	11	11	56	46		9	6	4	31	20		6	5	7	25	26		10	56
7		Parma	37	14	13	10	56	46		8	7	3	25	18		6	6	7	31	28		10	55
8		AC Milan	37	15	9	13	55	48		10	4	4	26	16		5	5	9	29	32		7	54
9		Hellas Verona	37	16	6	15	61	63		10	3	6	35	28		6	3	9	26	35		-2	54
10		Lazio	37	14	11	12	53	54		9	6	3	31	21		5	5	9	22	33		-1	53
11		Atalanta	37	15	5	17	42	49		11	3	5	28	22		4	2	12	14	27		-7	50
12		Sampdoria	37	12	8	17	45	59		7	5	7	28	29		5	3	10	17	30		-14	44
13		Udinese	37	12	7	18	43	54		9	3	6	24	21		3	4	12	19	33		-11	43
14		Genoa	37	10	11	16	40	50		7	5	6	21	19		3	6	10	19	31		-10	41
15		Cagliari	37	9	12	16	34	50		8	4	7	24	27		1	8	9	10	23		-16	39
16		Sassuolo	37	9	7	21	42	70		5	2	12	23	39		4	5	9	19	31		-28	34
17		Chievo Verona	37	9	6	22	32	53		5	2	11	17	21		4	4	11	15	32		-21	33
18		Bologna	37	5	14	18	28	57		3	8	8	15	27		2	6	10	13	30		-29	29
19		Catania	37	7	8	22	32	65		6	6	6	23	24		1	2	16	9	41		-33	29
20		Livorno	37	6	7	24	39	75		4	5	10	23	33		2	2	14	16	42		-36	25

