Zimbabwe:   1.2087335721612822 1.2943568120164937
Zambia:   1.0741899585021517 1.346740651946976
Wales:   1.1579193610646976 1.3378617237981574
Venezuela:   1.194383508791073 1.5819504223139897
Uzbekistan:   1.2246141631578906 1.4328042222829098
Uruguay:   2.160976739261982 1.0850438804938023
UnitedStates:   1.909251627674511 1.1262833735611257
Ukraine:   1.655356211205709 0.8581495138873848
Uganda:   0.8917935123429818 1.3036282420784842
Turkey:   1.5317399992977694 1.1061265638594369
Tunisia:   1.3867967981751088 1.48516007254196
TrinidadTobago:   0.9479671112694052 1.916720665752346
Togo:   0.9451487034097699 1.6300508856444977
Syria:   0.7389719315558668 1.7483659302434107
Switzerland:   1.8870899875684948 0.9702250143941776
Sweden:   2.1068347027607097 1.0355619822592566
Sudan:   0.8588196894967758 1.8297962055234298
Spain:   2.5262444801979984 0.6585631156088103
SouthKorea:   1.4631707881325813 1.1639603952252324
SouthAfrica:   1.0513235434590127 0.8754102379081825
Slovenia:   1.2221014036858011 1.3139271267142085
Slovakia:   1.345953025705192 1.39166481703976
SierraLeone:   0.7516739204000652 1.8883586930808705
Serbia:   1.7221822186700646 1.0401415111104808
Senegal:   1.237117350606252 1.1518516295585448
Scotland:   1.324602726494398 1.1035347085307055
SaudiArabia:   1.0764683759513671 0.9620421620828353
Russia:   1.708572177523909 0.8030567493982047
Romania:   1.5796134342234205 1.1771715739064001
Qatar:   1.032000953351265 1.4383819272603346
Portugal:   2.151824538736954 0.9332564614448029
Poland:   1.339409842025276 1.050397905729139
Peru:   1.0759313745867156 1.185259091036342
Paraguay:   1.4457083809332685 1.360321944036223
Panama:   1.2343380427240103 1.2459860815578583
Oman:   0.9333413061062965 1.088468354717993
Norway:   1.3185406716219377 1.2578517937125233
NorthKorea:   0.9031528609912266 1.6156798619571437
NorthernIreland:   0.7598253392872963 1.7812758903863888
Nigeria:   1.5383797405345239 0.8587331579257611
Mozambique:   0.5438826456688204 1.8632177547362316
Morocco:   1.4079834704637326 1.2143312964133508
Montenegro:   1.3200160118107758 1.5550638219752309
Moldova:   0.7732016382172322 1.8339411305217106
Mexico:   1.7028817746608735 0.9667776579895503
Martinique:   0.7769815260383922 1.880273190230938
Mali:   1.2197652222579254 1.4578412421863631
Macedonia:   1.0532322572084238 1.3741662799191499
Lithuania:   0.8258710047576044 1.7892438888316067
Libya:   1.0139824138180633 1.1302677288649696
Lebanon:   0.6390404634772052 1.9183414602349749
Latvia:   0.9099865539195896 1.9591545238212456
Kuwait:   1.2818140493665302 1.2608281307981
Kenya:   1.5630617741118686 2.4632716981098213
Jordan:   0.9671231511855006 1.3574029342504887
Japan:   1.8816574700666726 1.1454440672785502
Jamaica:   0.7566767765585761 1.4498795531085265
IvoryCoast:   2.0549837581966224 1.1025607674474327
Italy:   1.9381641226557957 1.0229970316705175
Israel:   1.3918865922696966 1.5256221358307382
Ireland:   1.3175663519162701 0.8142188477697844
Iraq:   0.9243256308426478 1.4004791907111378
Iran:   1.3646455885332798 1.0215230269127533
Iceland:   1.37002723702577 1.8187209170142722
Hungary:   1.5015366085543584 1.3992437377153892
Honduras:   1.2448767462320656 1.3265808044152168
Holland:   2.4420799153380246 0.8095916659234831
Haiti:   0.6665157767821708 2.181295252535369
Guinea:   1.4845254065207043 1.4390563622588695
Guatemala:   0.8171888476095706 2.1958189725434902
Guadeloupe:   0.9150999227245002 2.074507564252883
Greece:   1.3242143114253804 0.8524035674700404
Ghana:   1.491319768668134 1.0579129828217346
Germany:   3.25103284318354 1.0695949096239208
Georgia:   0.9304129618894427 1.565829012799006
Gabon:   1.016596870001733 1.2459849313146298
France:   1.8290533131017008 0.654040685491447
Finland:   1.0991736034031268 1.374176176651806
Ethiopia:   1.450953710745036 1.9265124739462596
Estonia:   0.8484902164474545 1.7620767111691038
England:   2.2495352105330455 0.7312465536035065
ElSalvador:   0.7417296647226809 1.8500559754333445
Egypt:   2.2964832409676657 1.1180470618686462
Ecuador:   1.6637286437005723 1.1353037628875438
Denmark:   1.7419541504947114 1.2112689780103685
Czechia:   1.4904890040547845 0.9235550165327213
Cuba:   0.5933208156474831 2.390467667566044
Croatia:   1.7324603098463114 0.887036500569359
CostaRica:   1.0130565692408726 1.1754316140593613
Congo:   0.7052503707622323 1.7148575635466505
Colombia:   1.4870209123181612 0.7551850820743069
China:   1.213839901775385 1.4235146450604221
Chile:   1.4404908828770138 1.4947789070247888
CapeVerde:   0.888116399813352 1.336024685396921
Canada:   0.7048241322547136 1.6133697575381956
Cameroon:   1.3491516961377037 1.1830531966475115
BurkinaFaso:   0.9965039146632935 1.447599670189914
Bulgaria:   1.1637450855184697 1.1844942069459181
Brazil:   3.3438098380922683 0.5373220378099197
Bosnia:   1.6742299262129832 1.1675844139324496
Bolivia:   0.9208717220410322 2.2286830105153834
Benin:   1.061407254384661 2.005133544103977
Belgium:   1.802415440897999 1.1199113979033284
Belarus:   1.2290933839558902 1.2740714496834438
Bahrain:   1.2933867446814646 1.7539734495391868
Azerbaijan:   0.6801420879276254 1.513383477574924
Austria:   1.5695393091919938 1.3369218063421469
Australia:   1.6775563003125538 1.314695712250882
Armenia:   1.174550490903239 1.769647580849868
Argentina:   2.397665022284283 0.814638566123589
Angola:   0.8932269170744567 1.3992031986014237
Algeria:   1.1890721890355382 1.196012186716103
Albania:   0.8898019225043383 1.2515936642630279
