Brazil:   2.100616 0.905540
Spain:   2.436845 0.715627
Italy:   2.322756 0.842881
France:   1.920170 0.999753
Germany:   2.248049 0.954564
Argentina:   2.266748 0.934093
England:   1.529863 1.268896
Holland:   1.796973 1.406853
Portugal:   1.998100 1.014939
Belgium:   1.854462 1.000445
Russia:   1.543177 1.204948
Colombia:   1.789415 1.272368
Uruguay:   1.713931 1.114818
Serbia:   1.393660 1.107789
Chile:   1.656963 1.263834
Switzerland:   1.351936 1.413953
IvoryCoast:   1.556164 1.397332
Cameroon:   1.356466 1.205173
Poland:   1.213644 1.396304
Mexico:   1.327930 1.308559
Croatia:   1.277993 1.382346
Morocco:   1.267683 1.482840
Nigeria:   1.206735 1.491892
Sweden:   1.157485 1.363539
Austria:   1.038983 1.347081
Turkey:   1.502537 1.329009
UnitedStates:   1.247729 1.527487
Senegal:   1.297121 1.342237
Denmark:   1.219967 1.362147
Greece:   1.261661 1.369976
Bosnia:   1.143500 1.564374
Ghana:   1.278229 1.411898
Wales:   1.186684 1.593839
Slovakia:   1.372788 1.507926
Norway:   1.217275 1.399388
Peru:   1.166472 1.402466
Burkinafaso:   1.260753 1.402466
Scotland:   1.109061 1.543762
Ecuador:   1.260753 1.488279
Japan:   1.143500 1.492923
Slovenia:   1.099812 1.543051
Algeria:   1.125907 1.579521
SouthKorea:   1.059040 1.644981
Montenegro:   1.445884 1.610223
Southafrica:   1.039709 1.590990
Paraguay:   1.220408 1.387013
Bulgaria:   1.221934 1.578367
Mali:   1.022277 1.585571
Hungary:   1.097885 1.574322
Drcongo:   1.097885 1.647024
Venezuela:   1.090319 1.325938
Congo:   0.980694 1.339712
Iceland:   1.062448 1.744344
Tunisia:   1.001660 1.506248
Ukraine:   1.195885 1.026262
Northernireland:   0.973253 1.591508
Gabon:   1.047596 1.537277
CostaRica:   1.168846 1.714603
Honduras:   1.023432 1.387013
Romania:   1.097885 1.363539
Israel:   1.184294 1.683173
Finland:   1.112338 1.537769
Australia:   0.969477 1.690755
Benin:   1.752140 1.602344
Togo:   1.011676 1.621936
Guinea:   0.992586 1.548373
Saudiarabia:   0.985254 1.700369
Canada:   0.970471 1.636079
Trinidadandtobago:   0.991546 1.678595
Capeverdeislands:   1.143500 1.602344
Oman:   1.320965 1.765969
Angola:   1.021362 1.339712
Georgia:   0.998101 1.387013
Lithuania:   0.987124 1.610223
Belarus:   1.089574 1.737824
Fyrmacedonia:   1.097885 1.575672
Albania:   1.014623 1.315532
Centralafricanrep:   1.042940 1.901009
Uzbekistan:   1.097885 1.602344
Cuba:   0.976685 1.782385
Burundi:   0.968140 1.641175
Kenya:   1.255040 1.631600
Jamaica:   0.996126 1.689825
Curacao:   0.971360 1.678595
Liechtenstein:   0.971360 1.732078
Newzealand:   0.971360 1.672456
Haiti:   1.001660 1.690755
Estonia:   0.968550 1.678595
Panama:   1.143500 1.621936
Comoros:   0.968140 1.582399
Elsalvador:   0.968140 1.873470
Libya:   1.001660 1.290999
Malta:   0.966365 1.732078
Latvia:   1.195885 1.432902
Syria:   1.007352 1.814158
Egypt:   1.084184 1.714603
Namibia:   0.976685 1.901009
Antiguaandbarbuda:   1.097885 1.732078
Zimbabwe:   0.966297 1.800714
Grenada:   1.097885 1.771480
Philippines:   0.966365 1.749200
Barbados:   0.968140 1.477380
Gambia:   1.001660 1.824436
Guineabissau:   1.036904 1.602344
Sierraleone:   0.991546 1.621936
Iran:   0.6 2.6
